 schemaname |        tablename        |              indexname               
------------+-------------------------+--------------------------------------
 public     | ad_appeals              | ad_appeals_pkey
 public     | ad_verification_history | ad_verification_history_pkey
 public     | admin_settings          | admin_settings_key_key
 public     | admin_settings          | admin_settings_pkey
 public     | ads                     | ads_pkey
 public     | ads                     | idx_ads_advertiser_id
 public     | ads                     | idx_ads_is_active
 public     | ads                     | idx_ads_section
 public     | ads                     | idx_ads_status
 public     | ads                     | idx_ads_verification_status
 public     | advertiser_packages     | advertiser_packages_pkey
 public     | comment_likes           | comment_likes_comment_id_user_id_key
 public     | comment_likes           | comment_likes_pkey
 public     | comments                | comments_pkey
 public     | comments                | idx_comments_ad_id
 public     | comments                | idx_comments_user_id
 public     | company_wallets         | company_wallets_pkey
 public     | notifications           | idx_notifications_is_read
 public     | notifications           | idx_notifications_user_id
 public     | notifications           | notifications_pkey
 public     | otp_codes               | otp_codes_pkey
 public     | purchased_packages      | idx_purchased_packages_advertiser_id
 public     | purchased_packages      | idx_purchased_packages_status
 public     | purchased_packages      | purchased_packages_pkey
 public     | sections                | sections_key_key
 public     | sections                | sections_pkey
 public     | sessions                | idx_sessions_expire
 public     | sessions                | sessions_pkey
 public     | transactions            | idx_transactions_created_at
 public     | transactions            | idx_transactions_type
 public     | transactions            | idx_transactions_user_id
 public     | transactions            | transactions_pkey
 public     | users                   | idx_users_civil_id
 public     | users                   | idx_users_phone
 public     | users                   | idx_users_role
 public     | users                   | users_civil_id_key
 public     | users                   | users_phone_key
 public     | users                   | users_pkey
 public     | videos                  | videos_pkey
 public     | view_events             | idx_view_events_24hr_reward_check
 public     | view_events             | idx_view_events_ad_completed
 public     | view_events             | idx_view_events_ad_id
 public     | view_events             | idx_view_events_is_completed
 public     | view_events             | idx_view_events_proof_token
 public     | view_events             | idx_view_events_user_completed_at
 public     | view_events             | idx_view_events_user_id
 public     | view_events             | view_events_pkey
 public     | view_events             | view_events_proof_token_key
 public     | wallets                 | idx_wallets_user_id
 public     | wallets                 | wallets_pkey
 public     | wallets                 | wallets_user_id_key
 public     | withdrawals             | idx_withdrawals_status
 public     | withdrawals             | idx_withdrawals_user_id
 public     | withdrawals             | withdrawals_pkey
(54 rows)

